modelo,split,sampler,scaling,duracao_random_search,qnt_iteracoes,f1_randsearch,melhores_parametros,f1_pred,class_report
MultinomialNB(),strat_vies,RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 02:39:36.475990,40,94.65%,"{'vect__ngram_range': (3, 4), 'vect__analyzer': 'word', 'selection__percentile': 100, 'estimator__fit_prior': False, 'estimator__alpha': 0.03}",95.58%,"{'0': {'precision': 0.9314285714285714, 'recall': 0.9476744186046512, 'f1-score': 0.9394812680115274, 'support': 516}, '1': {'precision': 0.9581005586592178, 'recall': 0.9320652173913043, 'f1-score': 0.9449035812672175, 'support': 736}, '2': {'precision': 0.9782214156079855, 'recall': 0.9880843263061412, 'f1-score': 0.9831281349749201, 'support': 1091}, 'accuracy': 0.9615877080665813, 'macro avg': {'precision': 0.9559168485652583, 'recall': 0.9559413207673656, 'f1-score': 0.9558376614178883, 'support': 2343}, 'weighted avg': {'precision': 0.9615956971654457, 'recall': 0.9615877080665813, 'f1-score': 0.9615083932412539, 'support': 2343}}"
MultinomialNB(),strat_partido,RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 02:24:46.185001,40,94.66%,"{'vect__ngram_range': (3, 4), 'vect__analyzer': 'word', 'selection__percentile': 100, 'estimator__fit_prior': False, 'estimator__alpha': 0.03}",94.49%,"{'0': {'precision': 0.9241245136186771, 'recall': 0.9205426356589147, 'f1-score': 0.9223300970873787, 'support': 516}, '1': {'precision': 0.9352617079889807, 'recall': 0.9225543478260869, 'f1-score': 0.9288645690834473, 'support': 736}, '2': {'precision': 0.9782411604714415, 'recall': 0.9890009165902841, 'f1-score': 0.98359161349134, 'support': 1091}, 'accuracy': 0.9530516431924883, 'macro avg': {'precision': 0.9458757940263665, 'recall': 0.9440326333584285, 'f1-score': 0.9449287598873887, 'support': 2343}, 'weighted avg': {'precision': 0.9528220111743362, 'recall': 0.9530516431924883, 'f1-score': 0.9529087081782144, 'support': 2343}}"
MultinomialNB(),pred_partido_novo,RandomOverSampler(random_state=42),MaxAbsScaler(),0 days 01:55:47.251738,40,85.45%,"{'vect__ngram_range': (3, 4), 'vect__analyzer': 'word', 'selection__percentile': 100, 'estimator__fit_prior': False, 'estimator__alpha': 10}",90.33%,"{'0': {'precision': 0.8252730109204368, 'recall': 0.8437001594896332, 'f1-score': 0.8343848580441641, 'support': 627}, '1': {'precision': 0.9747474747474747, 'recall': 0.8894009216589862, 'f1-score': 0.9301204819277109, 'support': 868}, '2': {'precision': 0.9221604447974583, 'recall': 0.9699248120300752, 'f1-score': 0.9454397394136808, 'support': 1197}, 'accuracy': 0.9145616641901931, 'macro avg': {'precision': 0.9073936434884566, 'recall': 0.901008631059565, 'f1-score': 0.9033150264618519, 'support': 2692}, 'weighted avg': {'precision': 0.916550162834502, 'recall': 0.9145616641901931, 'f1-score': 0.914634194793878, 'support': 2692}}"
MultinomialNB(),strat_vies,None,MaxAbsScaler(),0 days 02:21:58.379407,40,94.84%,"{'vect__ngram_range': (3, 4), 'vect__analyzer': 'word', 'selection__percentile': 100, 'estimator__fit_prior': False, 'estimator__alpha': 0.03}",95.54%,"{'0': {'precision': 0.9099264705882353, 'recall': 0.9593023255813954, 'f1-score': 0.9339622641509433, 'support': 516}, '1': {'precision': 0.9633802816901409, 'recall': 0.9293478260869565, 'f1-score': 0.9460580912863071, 'support': 736}, '2': {'precision': 0.9871441689623508, 'recall': 0.9853345554537122, 'f1-score': 0.9862385321100918, 'support': 1091}, 'accuracy': 0.9620145113102859, 'macro avg': {'precision': 0.9534836404135757, 'recall': 0.9579949023740214, 'f1-score': 0.9554196291824474, 'support': 2343}, 'weighted avg': {'precision': 0.9626735955976943, 'recall': 0.9620145113102859, 'f1-score': 0.9621039359883565, 'support': 2343}}"
MultinomialNB(),strat_partido,None,MaxAbsScaler(),0 days 02:13:53.842271,40,94.54%,"{'vect__ngram_range': (3, 4), 'vect__analyzer': 'word', 'selection__percentile': 100, 'estimator__fit_prior': False, 'estimator__alpha': 0.03}",94.34%,"{'0': {'precision': 0.8996282527881041, 'recall': 0.937984496124031, 'f1-score': 0.9184060721062619, 'support': 516}, '1': {'precision': 0.9400278940027894, 'recall': 0.9157608695652174, 'f1-score': 0.9277357192016518, 'support': 736}, '2': {'precision': 0.9852941176470589, 'recall': 0.9825847846012832, 'f1-score': 0.9839375860486462, 'support': 1091}, 'accuracy': 0.9517712334613743, 'macro avg': {'precision': 0.941650088145984, 'recall': 0.9454433834301771, 'f1-score': 0.9433597924521866, 'support': 2343}, 'weighted avg': {'precision': 0.9522085321287478, 'recall': 0.9517712334613743, 'f1-score': 0.9518510153300553, 'support': 2343}}"
MultinomialNB(),pred_partido_novo,None,MaxAbsScaler(),0 days 02:05:22.915537,40,85.92%,"{'vect__ngram_range': (3, 4), 'vect__analyzer': 'word', 'selection__percentile': 66, 'estimator__fit_prior': False, 'estimator__alpha': 0.02}",86.33%,"{'0': {'precision': 0.8075601374570447, 'recall': 0.7496012759170654, 'f1-score': 0.7775020678246486, 'support': 627}, '1': {'precision': 0.9742547425474255, 'recall': 0.8283410138248848, 'f1-score': 0.8953922789539228, 'support': 868}, '2': {'precision': 0.858600583090379, 'recall': 0.9841269841269841, 'f1-score': 0.9170883612300506, 'support': 1197}, 'accuracy': 0.8792719167904903, 'macro avg': {'precision': 0.8801384876982831, 'recall': 0.8540230912896448, 'f1-score': 0.8633275693362074, 'support': 2692}, 'weighted avg': {'precision': 0.8840037966849613, 'recall': 0.8792719167904903, 'f1-score': 0.8775813755759401, 'support': 2692}}"
