modelo,split,sampler,scaling,duracao_random_search,qnt_iteracoes,f1_randsearch,melhores_parametros,f1_pred,class_report
MultinomialNB(),strat_vies,RandomOverSampler(random_state=42),MinMaxScaler(),0 days 00:01:09.304921,40,75.54%,"{'selection__k': 1024, 'estimator__fit_prior': True, 'estimator__alpha': 50}",76.56%,"{'0': {'precision': 0.8208955223880597, 'recall': 0.4641350210970464, 'f1-score': 0.5929919137466307, 'support': 474}, '1': {'precision': 0.6910299003322259, 'recall': 0.8863636363636364, 'f1-score': 0.776602364654636, 'support': 704}, '2': {'precision': 0.9241842610364683, 'recall': 0.9304347826086956, 'f1-score': 0.927298988926336, 'support': 1035}, 'accuracy': 0.8165386353366471, 'macro avg': {'precision': 0.8120365612522513, 'recall': 0.7603111466897928, 'f1-score': 0.7656310891092009, 'support': 2213}, 'weighted avg': {'precision': 0.8278898498050483, 'recall': 0.8165386353366471, 'f1-score': 0.8077544895488136, 'support': 2213}}"
MultinomialNB(),strat_partido,RandomOverSampler(random_state=42),MinMaxScaler(),0 days 00:01:43.113899,40,75.79%,"{'selection__k': 1024, 'estimator__fit_prior': True, 'estimator__alpha': 50}",75.35%,"{'0': {'precision': 0.7577854671280276, 'recall': 0.4620253164556962, 'f1-score': 0.5740498034076016, 'support': 474}, '1': {'precision': 0.6868571428571428, 'recall': 0.8524822695035461, 'f1-score': 0.760759493670886, 'support': 705}, '2': {'precision': 0.9189704480457579, 'recall': 0.9323017408123792, 'f1-score': 0.9255880940950553, 'support': 1034}, 'accuracy': 0.8061455038409399, 'macro avg': {'precision': 0.7878710193436428, 'recall': 0.7489364422572072, 'f1-score': 0.7534657970578476, 'support': 2213}, 'weighted avg': {'precision': 0.810501599824801, 'recall': 0.8061455038409399, 'f1-score': 0.797782710866455, 'support': 2213}}"
MultinomialNB(),pred_partido_novo,RandomOverSampler(random_state=42),MinMaxScaler(),0 days 00:01:30.276649,40,62.79%,"{'selection__k': 1024, 'estimator__fit_prior': False, 'estimator__alpha': 0.3}",79.96%,"{'0': {'precision': 0.8805460750853242, 'recall': 0.41479099678456594, 'f1-score': 0.5639344262295082, 'support': 622}, '1': {'precision': 1.0, 'recall': 0.9484029484029484, 'f1-score': 0.9735182849936949, 'support': 814}, '2': {'precision': 0.7571801566579635, 'recall': 0.9991386735572783, 'f1-score': 0.8614927590048274, 'support': 1161}, 'accuracy': 0.8432807085098191, 'macro avg': {'precision': 0.8792420772477625, 'recall': 0.7874442062482642, 'f1-score': 0.79964849007601, 'support': 2597}, 'weighted avg': {'precision': 0.8628362805479273, 'recall': 0.8432807085098191, 'f1-score': 0.8253385407409419, 'support': 2597}}"
MultinomialNB(),strat_vies,None,MinMaxScaler(),0 days 00:00:53.133778,40,75.56%,"{'selection__k': 1024, 'estimator__fit_prior': False, 'estimator__alpha': 15}",76.65%,"{'0': {'precision': 0.8246268656716418, 'recall': 0.46624472573839665, 'f1-score': 0.5956873315363882, 'support': 474}, '1': {'precision': 0.6917960088691796, 'recall': 0.8863636363636364, 'f1-score': 0.7770859277708593, 'support': 704}, '2': {'precision': 0.9232981783317353, 'recall': 0.9304347826086956, 'f1-score': 0.9268527430221366, 'support': 1035}, 'accuracy': 0.8169905106190691, 'macro avg': {'precision': 0.8132403509575189, 'recall': 0.7610143815702429, 'f1-score': 0.7665420007764614, 'support': 2213}, 'weighted avg': {'precision': 0.8285183638253983, 'recall': 0.8169905106190691, 'f1-score': 0.8082769441151578, 'support': 2213}}"
MultinomialNB(),strat_partido,None,MinMaxScaler(),0 days 00:01:13.879373,40,75.69%,"{'selection__k': 1024, 'estimator__fit_prior': False, 'estimator__alpha': 15}",75.32%,"{'0': {'precision': 0.7622377622377622, 'recall': 0.459915611814346, 'f1-score': 0.5736842105263157, 'support': 474}, '1': {'precision': 0.6868571428571428, 'recall': 0.8524822695035461, 'f1-score': 0.760759493670886, 'support': 705}, '2': {'precision': 0.9173003802281369, 'recall': 0.9332688588007737, 'f1-score': 0.925215723873442, 'support': 1034}, 'accuracy': 0.8061455038409399, 'macro avg': {'precision': 0.788798428441014, 'recall': 0.7485555800395552, 'f1-score': 0.7532198093568813, 'support': 2213}, 'weighted avg': {'precision': 0.8106749110577851, 'recall': 0.8061455038409399, 'f1-score': 0.7975304190296373, 'support': 2213}}"
MultinomialNB(),pred_partido_novo,None,MinMaxScaler(),0 days 00:01:18.524509,40,62.12%,"{'selection__k': 1024, 'estimator__fit_prior': False, 'estimator__alpha': 0.3}",81.65%,"{'0': {'precision': 0.8958990536277602, 'recall': 0.4565916398713826, 'f1-score': 0.604898828541001, 'support': 622}, '1': {'precision': 1.0, 'recall': 0.9508599508599509, 'f1-score': 0.9748110831234257, 'support': 814}, '2': {'precision': 0.7702523240371846, 'recall': 0.9991386735572783, 'f1-score': 0.869891263592051, 'support': 1161}, 'accuracy': 0.8540623796688487, 'macro avg': {'precision': 0.888717125888315, 'recall': 0.8021967547628707, 'f1-score': 0.8165337250854926, 'support': 2597}, 'weighted avg': {'precision': 0.8723573968285092, 'recall': 0.8540623796688487, 'f1-score': 0.8393096072565815, 'support': 2597}}"
